order_id,email,firstname,lastname,prefix,middlename,suffix,taxvat,created_at,updated_at,invoice_created_at,shipment_created_at,creditmemo_created_at,tax_amount,base_tax_amount,discount_amount,base_discount_amount,shipping_tax_amount,base_shipping_tax_amount,base_to_global_rate,base_to_order_rate,store_to_base_rate,store_to_order_rate,subtotal_incl_tax,base_subtotal_incl_tax,coupon_code,shipping_incl_tax,base_shipping_incl_tax,shipping_method,shipping_amount,subtotal,base_subtotal,grand_total,base_grand_total,base_shipping_amount,adjustment_positive,adjustment_negative,refunded_shipping_amount,base_refunded_shipping_amount,refunded_subtotal,base_refunded_subtotal,refunded_tax_amount,base_refunded_tax_amount,refunded_discount_amount,base_refunded_discount_amount,store_id,order_status,order_state,hold_before_state,hold_before_status,store_currency_code,base_currency_code,order_currency_code,total_paid,base_total_paid,is_virtual,total_qty_ordered,remote_ip,total_refunded,base_total_refunded,total_canceled,total_invoiced,customer_id,billing_prefix,billing_firstname,billing_middlename,billing_lastname,billing_suffix,billing_street_full,billing_city,billing_region,billing_country,billing_postcode,billing_telephone,billing_company,billing_fax,customer_id,shipping_prefix,shipping_firstname,shipping_middlename,shipping_lastname,shipping_suffix,shipping_street_full,shipping_city,shipping_region,shipping_country,shipping_postcode,shipping_telephone,shipping_company,shipping_fax,payment_method,product_sku,product_name,qty_ordered,qty_invoiced,qty_shipped,qty_refunded,qty_canceled,product_type,original_price,base_original_price,row_total,base_row_total,row_weight,price_incl_tax,base_price_incl_tax,product_tax_amount,product_base_tax_amount,product_tax_percent,product_discount,product_base_discount,product_discount_percent,is_child,product_option
100000024,Leslie@mailinator.com,Leslie,H,,,,,2014-06-04 07:26:31,2014-06-04 08:31:10,2014-06-04 08:30:55,2014-06-04 08:31:10,,0,0,0,0,0,0,1,1,1,1,312,312,,15,15,Flat Rate - Fixed,15,312,312,327,327,15,0,0,0,0,0,0,0,0,0,0,1,complete,complete,,,USD,USD,USD,327,327,0,3,127.0.0.1,,,,327,6,,Leslie,,H,,"3333 W Commercial Blvd
STE 202",Fort Lauderdale,Florida,US,33309,866-948-8384,,866-948-8394,6,,Leslie,,H,,"3333 W Commercial Blvd
STE 202",Fort Lauderdale,Florida,US,33309,866-948-8384,,866-948-8394,checkmo,Simple3,Configurable Product,2,2,2,0,0,configurable,100,100,200,200,200,100,100,0,0,0,0,0,0,no,"a:6:{s:15:""info_buyRequest"";a:5:{s:4:""uenc"";s:116:""aHR0cDovL2xvY2FsaG9zdC9tYWdlbnRvXzEuNy4wLjEvaW5kZXgucGhwL2NhdDEvY29uZmlndXJhYmxlLXByb2R1Y3QuaHRtbD9vcHRpb25zPWNhcnQ,"";s:7:""product"";s:1:""7"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:1:""5"";}s:3:""qty"";s:1:""2"";}s:15:""attributes_info"";a:1:{i:0;a:2:{s:5:""label"";s:5:""Color"";s:5:""value"";s:4:""Blue"";}}s:11:""simple_name"";s:7:""Simple3"";s:10:""simple_sku"";s:7:""Simple3"";s:20:""product_calculations"";i:1;s:13:""shipment_type"";i:0;}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simple3,Simple3,2,2,0,0,0,simple,0,,0,0,0,,,0,0,0,0,0,0,yes,"a:1:{s:15:""info_buyRequest"";a:5:{s:4:""uenc"";s:116:""aHR0cDovL2xvY2FsaG9zdC9tYWdlbnRvXzEuNy4wLjEvaW5kZXgucGhwL2NhdDEvY29uZmlndXJhYmxlLXByb2R1Y3QuaHRtbD9vcHRpb25zPWNhcnQ,"";s:7:""product"";s:1:""7"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:1:""5"";}s:3:""qty"";s:1:""2"";}}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simple2-31,Simple with custom option,1,1,1,0,0,simple,112,112,112,112,100,112,112,0,0,0,0,0,0,no,"a:2:{s:15:""info_buyRequest"";a:5:{s:4:""uenc"";s:96:""aHR0cDovL2xvY2FsaG9zdC9tYWdlbnRvXzEuNy4wLjEvaW5kZXgucGhwL2NhdDEvdGVzdC0zLmh0bWw_b3B0aW9ucz1jYXJ0"";s:7:""product"";s:1:""3"";s:15:""related_product"";s:0:"""";s:7:""options"";a:1:{i:1;a:1:{i:0;s:1:""2"";}}s:3:""qty"";s:1:""1"";}s:7:""options"";a:1:{i:0;a:7:{s:5:""label"";s:13:""Custom Option"";s:5:""value"";s:1:""2"";s:11:""print_value"";s:1:""2"";s:9:""option_id"";s:1:""1"";s:11:""option_type"";s:8:""checkbox"";s:12:""option_value"";s:1:""2"";s:11:""custom_view"";b:0;}}}"
100000020,john@mailinator.com,John,S,,,,,2014-06-04 07:22:07,2014-06-04 08:30:34,2014-06-04 08:30:34,,,0,0,0,0,0,0,1,1,1,1,600,600,,15,15,Flat Rate - Fixed,15,600,600,615,615,15,0,0,0,0,0,0,0,0,0,0,1,processing,processing,,,USD,USD,USD,615,615,0,3,127.0.0.1,,,,615,3,,John,,S,,"3333 W Commercial Blvd
STE 202",Fort Lauderdale,Florida,US,33309,866-948-8384,,866-948-8394,3,,John,,S,,"3333 W Commercial Blvd
STE 202",Fort Lauderdale,Florida,US,33309,866-948-8384,,866-948-8394,checkmo,bundle_,Bundle Product,3,3,0,0,0,bundle,200,200,600,600,600,200,200,0,0,0,0,0,0,no,"a:4:{s:15:""info_buyRequest"";a:5:{s:4:""uenc"";s:104:""aHR0cDovL2xvY2FsaG9zdC9tYWdlbnRvXzEuNy4wLjEvaW5kZXgucGhwL2NhdDEvdGVzdC1idW5kbGUuaHRtbD9vcHRpb25zPWNhcnQ,"";s:7:""product"";s:1:""4"";s:15:""related_product"";s:0:"""";s:13:""bundle_option"";a:1:{i:1;a:2:{i:0;s:1:""1"";i:1;s:1:""2"";}}s:3:""qty"";s:1:""2"";}s:14:""bundle_options"";a:1:{i:1;a:3:{s:9:""option_id"";s:1:""1"";s:5:""label"";s:7:""Inserts"";s:5:""value"";a:2:{i:0;a:3:{s:5:""title"";s:8:""Simple 2"";s:3:""qty"";i:1;s:5:""price"";d:100;}i:1;a:3:{s:5:""title"";s:7:""Simple3"";s:3:""qty"";i:1;s:5:""price"";d:100;}}}}s:20:""product_calculations"";i:0;s:13:""shipment_type"";s:1:""0"";}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,Simple 2,3,3,0,0,0,simple,100,100,300,300,0,100,100,0,0,0,0,0,0,yes,"a:2:{s:15:""info_buyRequest"";a:5:{s:4:""uenc"";s:104:""aHR0cDovL2xvY2FsaG9zdC9tYWdlbnRvXzEuNy4wLjEvaW5kZXgucGhwL2NhdDEvdGVzdC1idW5kbGUuaHRtbD9vcHRpb25zPWNhcnQ,"";s:7:""product"";s:1:""4"";s:15:""related_product"";s:0:"""";s:13:""bundle_option"";a:1:{i:1;a:2:{i:0;s:1:""1"";i:1;s:1:""2"";}}s:3:""qty"";s:6:""1.0000"";}s:27:""bundle_selection_attributes"";s:96:""a:4:{s:5:""price"";d:100;s:3:""qty"";d:1;s:12:""option_label"";s:7:""Inserts"";s:9:""option_id"";s:1:""1"";}"";}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simple3,Simple3,3,3,0,0,0,simple,100,100,300,300,0,100,100,0,0,0,0,0,0,yes,"a:2:{s:15:""info_buyRequest"";a:5:{s:4:""uenc"";s:104:""aHR0cDovL2xvY2FsaG9zdC9tYWdlbnRvXzEuNy4wLjEvaW5kZXgucGhwL2NhdDEvdGVzdC1idW5kbGUuaHRtbD9vcHRpb25zPWNhcnQ,"";s:7:""product"";s:1:""4"";s:15:""related_product"";s:0:"""";s:13:""bundle_option"";a:1:{i:1;a:2:{i:0;s:1:""1"";i:1;s:1:""2"";}}s:3:""qty"";s:6:""1.0000"";}s:27:""bundle_selection_attributes"";s:96:""a:4:{s:5:""price"";d:100;s:3:""qty"";d:1;s:12:""option_label"";s:7:""Inserts"";s:9:""option_id"";s:1:""1"";}"";}"
100000017,leslie@mailinator.com,Leslie,H,,,,,2014-06-03 07:25:50,2014-06-03 08:41:22,2014-06-03 08:41:22,,,0,0,0,0,0,0,1,1,1,1,160,160,,5,5,Flat Rate - Fixed,5,160,160,165,165,5,0,0,0,0,0,0,0,0,0,0,1,processing,processing,,,USD,USD,USD,165,165,0,1,127.0.0.1,,,,165,1,,Leslie,,H,,21`31`3123awsdadxasdasf,3123123,District of Columbia,US,12323123,12121313,cxcxc,312312312312,1,,Leslie,,H,,21`31`3123awsdadxasdasf,3123123,District of Columbia,US,12323123,12121313,cxcxc,312312312312,checkmo,custom-option-option1-option2-option3-option5-2,Product with custom option,1,1,0,0,0,simple,160,160,160,160,100,160,160,0,0,0,0,0,0,no,"a:2:{s:15:""info_buyRequest"";a:5:{s:4:""uenc"";s:80:""aHR0cDovL2xvY2FsaG9zdC9tYWdlbnRvXzEuNy4wLjEvaW5kZXgucGhwL2NhdDEvY3VzdG8uaHRtbA,,"";s:7:""product"";s:1:""6"";s:15:""related_product"";s:0:"""";s:7:""options"";a:2:{i:3;a:4:{i:0;s:1:""4"";i:1;s:1:""5"";i:2;s:1:""6"";i:3;s:1:""8"";}i:2;s:8:""Helooooo"";}s:3:""qty"";s:1:""1"";}s:7:""options"";a:2:{i:0;a:7:{s:5:""label"";s:13:""Custom Option"";s:5:""value"";s:34:""option1, option2, option3, option5"";s:11:""print_value"";s:34:""option1, option2, option3, option5"";s:9:""option_id"";s:1:""3"";s:11:""option_type"";s:8:""checkbox"";s:12:""option_value"";s:7:""4,5,6,8"";s:11:""custom_view"";b:0;}i:1;a:7:{s:5:""label"";s:15:""Custom Option 2"";s:5:""value"";s:8:""Helooooo"";s:11:""print_value"";s:8:""Helooooo"";s:9:""option_id"";s:1:""2"";s:11:""option_type"";s:5:""field"";s:12:""option_value"";s:8:""Helooooo"";s:11:""custom_view"";b:0;}}}"
100000011,leslie@mailinator.com,Leslie,M,,,,,2014-06-02 12:36:59,2014-06-02 12:40:39,2014-06-02 12:40:08,2014-06-02 12:40:24,2014-06-02 12:40:39,0,0,0,0,0,0,1,1,1,1,425,425,,15,15,Flat Rate - Fixed,15,425,425,440,440,15,0,0,15,15,425,425,0,0,0,0,1,closed,closed,,,USD,USD,USD,440,440,0,3,127.0.0.1,440,440,,440,1,,Leslie,,H,,21`31`3123awsdadxasdasf,3123123,District of Columbia,US,12323123,12121313,cxcxc,312312312312,1,,Leslie,,H,,21`31`3123awsdadxasdasf,3123123,District of Columbia,US,12323123,12121313,cxcxc,312312312312,checkmo,bundle_,Test Bundle,1,1,1,1,0,bundle,200,200,200,200,200,200,200,0,0,0,0,0,0,no,"a:4:{s:15:""info_buyRequest"";a:5:{s:4:""uenc"";s:104:""aHR0cDovL2xvY2FsaG9zdC9tYWdlbnRvXzEuNy4wLjEvaW5kZXgucGhwL2NhdDEvdGVzdC1idW5kbGUuaHRtbD9vcHRpb25zPWNhcnQ,"";s:7:""product"";s:1:""4"";s:15:""related_product"";s:0:"""";s:13:""bundle_option"";a:1:{i:1;a:2:{i:0;s:1:""1"";i:1;s:1:""2"";}}s:3:""qty"";s:6:""2.0000"";}s:14:""bundle_options"";a:1:{i:1;a:3:{s:9:""option_id"";s:1:""1"";s:5:""label"";s:7:""Inserts"";s:5:""value"";a:2:{i:0;a:3:{s:5:""title"";s:4:""test"";s:3:""qty"";i:1;s:5:""price"";d:100;}i:1;a:3:{s:5:""title"";s:7:""Simple3"";s:3:""qty"";i:1;s:5:""price"";d:100;}}}}s:20:""product_calculations"";i:0;s:13:""shipment_type"";s:1:""0"";}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test,1,1,1,1,0,simple,100,100,100,100,0,100,100,0,0,0,0,0,0,yes,"a:2:{s:15:""info_buyRequest"";a:5:{s:4:""uenc"";s:104:""aHR0cDovL2xvY2FsaG9zdC9tYWdlbnRvXzEuNy4wLjEvaW5kZXgucGhwL2NhdDEvdGVzdC1idW5kbGUuaHRtbD9vcHRpb25zPWNhcnQ,"";s:7:""product"";s:1:""4"";s:15:""related_product"";s:0:"""";s:13:""bundle_option"";a:1:{i:1;a:2:{i:0;s:1:""1"";i:1;s:1:""2"";}}s:3:""qty"";s:6:""2.0000"";}s:27:""bundle_selection_attributes"";s:96:""a:4:{s:5:""price"";d:100;s:3:""qty"";d:1;s:12:""option_label"";s:7:""Inserts"";s:9:""option_id"";s:1:""1"";}"";}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simple3,Simple3,1,1,1,1,0,simple,100,100,100,100,0,100,100,0,0,0,0,0,0,yes,"a:2:{s:15:""info_buyRequest"";a:5:{s:4:""uenc"";s:104:""aHR0cDovL2xvY2FsaG9zdC9tYWdlbnRvXzEuNy4wLjEvaW5kZXgucGhwL2NhdDEvdGVzdC1idW5kbGUuaHRtbD9vcHRpb25zPWNhcnQ,"";s:7:""product"";s:1:""4"";s:15:""related_product"";s:0:"""";s:13:""bundle_option"";a:1:{i:1;a:2:{i:0;s:1:""1"";i:1;s:1:""2"";}}s:3:""qty"";s:6:""2.0000"";}s:27:""bundle_selection_attributes"";s:96:""a:4:{s:5:""price"";d:100;s:3:""qty"";d:1;s:12:""option_label"";s:7:""Inserts"";s:9:""option_id"";s:1:""1"";}"";}"
